Fecha_datetime,Year,Month,Day,NO2_trop_mean,NO2_trop_std,WeekofYear,NO2_trop_mean_complete,NO2_trop_std_complete
2018-11-29T00:00:00Z,2018,11,29,NA,NA,2018W48,1.2715425795771333e-4,4.861465893313395e-5
2018-11-30T00:00:00Z,2018,11,30,1.665499065533e-4,7.157723280336743e-5,2018W48,1.665499065533e-4,7.157723280336743e-5
2018-12-01T00:00:00Z,2018,12,1,NA,NA,2018W48,1.1113423514560425e-4,4.893873425467197e-5
2018-12-02T00:00:00Z,2018,12,2,4.276509950155038e-5,1.5092353075781794e-5,2018W48,4.276509950155042e-5,1.5092353075781798e-5
2018-12-03T00:00:00Z,2018,12,3,6.016858980426031e-5,1.952229545555736e-5,2018W49,6.016858980426031e-5,1.952229545555736e-5
2018-12-04T00:00:00Z,2018,12,4,1.36503139889e-4,6.71739606887304e-5,2018W49,1.36503139889e-4,6.71739606887304e-5
2018-12-05T00:00:00Z,2018,12,5,1.097057761441e-4,6.757151225919717e-5,2018W49,1.097057761441e-4,6.757151225919717e-5
2018-12-06T00:00:00Z,2018,12,6,8.313816229299217e-5,3.4067325357941494e-5,2018W49,8.313816229299219e-5,3.4067325357941494e-5
2018-12-07T00:00:00Z,2018,12,7,2.566210712307e-4,6.653523506817194e-5,2018W49,2.566210712307e-4,6.653523506817194e-5
2018-12-08T00:00:00Z,2018,12,8,3.431587607028783e-5,1.2552296232898672e-5,2018W49,3.4315876070287806e-5,1.2552296232898669e-5
2018-12-09T00:00:00Z,2018,12,9,NA,NA,2018W49,0,0
2018-12-10T00:00:00Z,2018,12,10,NA,NA,2018W50,0,0
2018-12-11T00:00:00Z,2018,12,11,NA,NA,2018W50,0,5.824271244732601e-6
2018-12-12T00:00:00Z,2018,12,12,4.64783321566912e-5,1.0628349931821776e-5,2018W50,4.647833215669131e-5,1.0628349931821811e-5
2018-12-13T00:00:00Z,2018,12,13,NA,NA,2018W50,3.1868279161067954e-5,0
2018-12-14T00:00:00Z,2018,12,14,4.984497235087482e-5,8.45601963663957e-6,2018W50,4.9844972350874845e-5,8.456019636639564e-6
2018-12-15T00:00:00Z,2018,12,15,1.368866161167e-4,7.243984323096174e-5,2018W50,1.368866161167e-4,7.243984323096174e-5
2018-12-16T00:00:00Z,2018,12,16,4.3633482607664376e-5,1.8615997196116263e-5,2018W50,4.363348260766437e-5,1.861599719611626e-5
2018-12-17T00:00:00Z,2018,12,17,NA,NA,2018W51,1.8481054564649512e-6,0
2018-12-18T00:00:00Z,2018,12,18,4.038777415959865e-5,1.335000146928722e-5,2018W51,4.0387774159598675e-5,1.3350001469287219e-5
2018-12-19T00:00:00Z,2018,12,19,8.775865319160868e-5,4.473019704651641e-5,2018W51,8.775865319160868e-5,4.473019704651641e-5
2018-12-20T00:00:00Z,2018,12,20,NA,NA,2018W51,7.774518981245129e-5,3.726387078035095e-5
2018-12-21T00:00:00Z,2018,12,21,6.321568412301087e-5,2.289611855644434e-5,2018W51,6.321568412301088e-5,2.289611855644434e-5
2018-12-22T00:00:00Z,2018,12,22,8.654155946667974e-5,3.3077763815066163e-5,2018W51,8.654155946667974e-5,3.3077763815066163e-5
2018-12-23T00:00:00Z,2018,12,23,6.654597959577827e-5,2.8159178421878125e-5,2018W51,6.654597959577827e-5,2.815917842187812e-5
2018-12-24T00:00:00Z,2018,12,24,4.298354330779826e-5,1.5541671300322655e-5,2018W52,4.298354330779826e-5,1.5541671300322655e-5
2018-12-25T00:00:00Z,2018,12,25,4.982816284961375e-5,1.6743570306875664e-5,2018W52,4.982816284961375e-5,1.6743570306875664e-5
2018-12-26T00:00:00Z,2018,12,26,8.742712166444023e-5,4.433530961757175e-5,2018W52,8.742712166444023e-5,4.433530961757175e-5
2018-12-27T00:00:00Z,2018,12,27,NA,NA,2018W52,6.503701817029141e-5,3.194406731594623e-5
2018-12-28T00:00:00Z,2018,12,28,3.881528424920471e-5,1.5974684665267863e-5,2018W52,3.881528424920472e-5,1.5974684665267877e-5
2018-12-29T00:00:00Z,2018,12,29,5.776058216718088e-5,2.8522672036509194e-5,2018W52,5.776058216718088e-5,2.8522672036509194e-5
2018-12-30T00:00:00Z,2018,12,30,3.272968198875872e-5,7.41801675735672e-6,2018W52,3.272968198875872e-5,7.418016757356722e-6
